band_index,wavelength_nm,mean,std,valid_ratio
0,376.44,0.09886229,0.0138170915,0.7173584485419285
1,381.41,0.10959434,0.011645199,0.7173584485419285
2,386.38,0.10729881,0.011667851,0.7173584485419285
3,391.35,0.1099177,0.012147551,0.7173584485419285
4,396.32,0.10816285,0.013294766,0.7173584485419285
5,401.29,0.11017103,0.014684287,0.7173584485419285
6,406.26,0.10927396,0.015378842,0.7173584485419285
7,411.23,0.10537591,0.015728394,0.7173584485419285
8,416.21,0.10603995,0.016339129,0.7173584485419285
9,421.18,0.10418658,0.016639026,0.7173584485419285
10,426.16,0.103019066,0.01695873,0.7173584485419285
11,431.14,0.10189823,0.017304657,0.7173584485419285
12,436.12,0.10394722,0.018051699,0.7173584485419285
13,441.1,0.10226492,0.018309588,0.7173584485419285
14,446.08,0.09938525,0.018360203,0.7173584485419285
15,451.06,0.100549445,0.018879794,0.7173584485419285
16,456.04,0.1017417,0.019363813,0.7173584485419285
17,461.02,0.100487396,0.019630091,0.7173584485419285
18,466.01,0.101188265,0.020051874,0.7173584485419285
19,470.99,0.100789584,0.0203858,0.7173584485419285
20,475.98,0.10079378,0.020749534,0.7173584485419285
21,480.96,0.10082443,0.021050634,0.7173584485419285
22,485.95,0.10096157,0.021447692,0.7173584485419285
23,490.93,0.10156437,0.021930583,0.7173584485419285
24,495.92,0.10085589,0.022110188,0.7173584485419285
25,500.91,0.102979384,0.022764374,0.7173584485419285
26,505.9,0.10366094,0.02307917,0.7173584485419285
27,510.89,0.105350815,0.023395045,0.7173584485419285
28,515.88,0.10689973,0.02363947,0.7173584485419285
29,520.87,0.1101237,0.024030995,0.7173584485419285
30,525.87,0.112692975,0.024240572,0.7173584485419285
31,530.86,0.11479456,0.02440521,0.7173584485419285
32,535.85,0.11734181,0.024681386,0.7173584485419285
33,540.85,0.11946995,0.025021818,0.7173584485419285
34,545.84,0.12032552,0.025204215,0.7173584485419285
35,550.84,0.121897005,0.025500305,0.7173584485419285
36,555.83,0.12392017,0.025900818,0.7173584485419285
37,560.83,0.12486383,0.02632167,0.7173584485419285
38,565.83,0.12544784,0.026810652,0.7173584485419285
39,570.83,0.12559189,0.027399853,0.7173584485419285
40,575.82,0.12572768,0.028078798,0.7173584485419285
41,580.82,0.12507878,0.028680066,0.7173584485419285
42,585.82,0.12389067,0.029090604,0.7173584485419285
43,590.82,0.12441301,0.029913524,0.7173584485419285
44,595.82,0.12370364,0.030512918,0.7173584485419285
45,600.82,0.12416196,0.0314683,0.7173584485419285
46,605.82,0.12424014,0.032299794,0.7173584485419285
47,610.82,0.12446337,0.033079226,0.7173584485419285
48,615.83,0.12426742,0.0337583,0.7173584485419285
49,620.83,0.1239251,0.03432018,0.7173584485419285
50,625.83,0.124737404,0.03504515,0.7173584485419285
51,630.83,0.1250309,0.035611484,0.7173584485419285
52,635.84,0.12459558,0.03608689,0.7173584485419285
53,640.84,0.12406344,0.03647045,0.7173584485419285
54,645.85,0.124066696,0.037106585,0.7173584485419285
55,650.85,0.12287237,0.03776299,0.7173584485419285
56,655.86,0.122517675,0.03869392,0.7173584485419285
57,660.86,0.11699857,0.03823844,0.7173584485419285
58,665.87,0.11622469,0.03904391,0.7173584485419285
59,670.87,0.11915495,0.040748935,0.7173584485419285
60,675.88,0.12210234,0.042192545,0.7173584485419285
61,680.89,0.12326922,0.04278138,0.7173584485419285
62,685.89,0.12584615,0.04331807,0.7173584485419285
63,690.9,0.12824027,0.04282172,0.7173584485419285
64,695.91,0.13273929,0.042450983,0.7173584485419285
65,700.91,0.139607,0.042619653,0.7173584485419285
66,705.92,0.14714594,0.043411683,0.7173584485419285
67,710.93,0.15481108,0.045032524,0.7173584485419285
68,715.94,0.16145952,0.04724399,0.7173584485419285
69,720.95,0.16746973,0.050144155,0.7173584485419285
70,725.96,0.1747272,0.053657148,0.7173584485419285
71,730.97,0.18239798,0.057967354,0.7173584485419285
72,735.98,0.19117571,0.062265627,0.7173584485419285
73,740.98,0.19949055,0.065852605,0.7173584485419285
74,745.99,0.20763229,0.06893084,0.7173584485419285
75,751.0,0.21290492,0.071082555,0.7173584485419285
76,756.02,0.21630545,0.071789995,0.7173584485419285
77,761.02,0.21496129,0.07259108,0.7173584485419285
78,766.04,0.21894307,0.07453486,0.7173584485419285
79,771.05,0.22318608,0.07580105,0.7173584485419285
80,776.06,0.22484656,0.07670847,0.7173584485419285
81,781.07,0.22613917,0.07717388,0.7173584485419285
82,786.08,0.22644062,0.07742562,0.7173584485419285
83,791.09,0.22701131,0.07760893,0.7173584485419285
84,796.1,0.22782093,0.07783542,0.7173584485419285
85,801.12,0.2286846,0.07816217,0.7173584485419285
86,806.13,0.2292966,0.07859813,0.7173584485419285
87,811.14,0.22927713,0.07899192,0.7173584485419285
88,816.15,0.22864728,0.07949241,0.7173584485419285
89,821.16,0.22965981,0.08055894,0.7173584485419285
90,826.18,0.23088679,0.08185082,0.7173584485419285
91,831.19,0.23200604,0.083473764,0.7173584485419285
92,836.2,0.23344669,0.08470719,0.7173584485419285
93,841.21,0.23504546,0.08562462,0.7173584485419285
94,846.23,0.23647913,0.08638146,0.7173584485419285
95,851.24,0.23745912,0.08711394,0.7173584485419285
96,856.25,0.23838583,0.08786256,0.7173584485419285
97,861.26,0.23963243,0.08859914,0.7173584485419285
98,866.28,0.24019396,0.089236945,0.7173584485419285
99,871.29,0.24085732,0.089836925,0.7173584485419285
100,876.3,0.24135415,0.09045798,0.7173584485419285
101,881.32,0.24116737,0.09119958,0.7173584485419285
102,886.33,0.24128865,0.091619775,0.7173584485419285
103,891.34,0.24015868,0.09144262,0.7173584485419285
104,896.36,0.2373508,0.09062035,0.7173584485419285
105,901.37,0.23575576,0.09031642,0.7173584485419285
106,906.38,0.23601717,0.09067884,0.7173584485419285
107,911.4,0.23400575,0.09026255,0.7173584485419285
108,916.41,0.23330471,0.09037399,0.7173584485419285
109,921.42,0.23428923,0.09106521,0.7173584485419285
110,926.44,0.23235445,0.0906871,0.7173584485419285
111,931.45,0.22390917,0.08841506,0.7173584485419285
112,936.46,0.21366951,0.086174086,0.7173584485419285
113,941.48,0.21549821,0.08666403,0.7173584485419285
114,946.49,0.21253549,0.086128585,0.7173584485419285
115,951.5,0.21085323,0.08574087,0.7173584485419285
116,956.52,0.20942526,0.08519633,0.7173584485419285
117,961.53,0.21208537,0.085940756,0.7173584485419285
118,966.55,0.21645659,0.087349676,0.7173584485419285
119,971.56,0.22209007,0.08945281,0.7173584485419285
120,976.57,0.22399536,0.09038768,0.7173584485419285
121,981.59,0.22880305,0.09235381,0.7173584485419285
122,986.6,0.23582883,0.09530524,0.7173584485419285
123,991.61,0.24179018,0.097921126,0.7173584485419285
124,996.63,0.24663454,0.100114875,0.7173584485419285
125,1001.64,0.24975917,0.101429395,0.7173584485419285
126,1006.65,0.25225997,0.10250334,0.7173584485419285
127,1011.67,0.25441074,0.10351573,0.7173584485419285
128,1016.68,0.2564329,0.104367405,0.7173584485419285
129,1021.69,0.2587738,0.10545318,0.7173584485419285
130,1026.71,0.26093036,0.106462866,0.7173584485419285
131,1031.72,0.26270482,0.107293636,0.7173584485419285
132,1036.73,0.2644411,0.10816666,0.7173584485419285
133,1041.75,0.2657554,0.10876594,0.7173584485419285
134,1046.76,0.2668852,0.10930383,0.7173584485419285
135,1051.77,0.26780188,0.109711036,0.7173584485419285
136,1056.79,0.26836896,0.11002103,0.7173584485419285
137,1061.8,0.26895612,0.11037134,0.7173584485419285
138,1066.81,0.26908997,0.11051025,0.7173584485419285
139,1071.83,0.26901093,0.11055862,0.7173584485419285
140,1076.84,0.26883143,0.11054063,0.7173584485419285
141,1081.85,0.26831272,0.11049408,0.7173584485419285
142,1086.86,0.26706493,0.11007208,0.7173584485419285
143,1091.88,0.2646896,0.10909745,0.7173584485419285
144,1096.89,0.26160288,0.10796538,0.7173584485419285
145,1101.9,0.25778055,0.106592275,0.7173584485419285
146,1106.92,0.25352857,0.10521766,0.7173584485419285
147,1111.93,0.24733634,0.1033057,0.7173584485419285
148,1116.94,0.23664647,0.10011304,0.7173584485419285
149,1121.95,0.22298509,0.096562766,0.7173584485419285
150,1126.97,0.2178898,0.09510351,0.7173584485419285
151,1131.98,0.21912226,0.094458014,0.7173584485419285
152,1136.99,0.21993472,0.09443862,0.7173584485419285
153,1142.0,0.2175111,0.09382559,0.7173584485419285
154,1147.01,0.21159592,0.09229322,0.7173584485419285
155,1152.03,0.20940492,0.0914131,0.7173584485419285
156,1157.04,0.21524353,0.09336142,0.7173584485419285
157,1162.05,0.22225092,0.09602367,0.7173584485419285
158,1167.06,0.227425,0.098072976,0.7173584485419285
159,1172.07,0.23111117,0.099592716,0.7173584485419285
