index,mean,std,p05,p50,p95
REP,720.3139038085938,108.66170501708984,713.1979370117188,721.3128662109375,725.8798461914063
PRI,-0.04404812678694725,0.015555772930383682,-0.06845256164669991,-0.0437699593603611,-0.020171293802559432
NDLI,0.030551619827747345,0.02110482007265091,0.008199390955269337,0.029830722138285637,0.05530785694718358
WBI,1.0861756801605225,0.0839366465806961,0.9825449824333191,1.0709445476531982,1.2526930570602417
NDVI,0.2992580533027649,0.20601899921894073,-0.16157915443181992,0.31230393052101135,0.6036032915115356
PSRI,0.08352484554052353,0.10730462521314621,-0.05798972584307194,0.07230520993471146,0.25579260289669037
ARI,0.6295554637908936,1.2572287321090698,-1.7831127166748046,0.8907041549682617,1.9430173873901364
CRI550,1.3894933462142944,0.5468035936355591,0.7776694297790527,1.2444567680358887,2.494670867919922
CRI700,2.0190489292144775,1.3237245082855225,-0.6354916572570797,2.3480615615844727,3.470156717300415
MCARI,0.02151244506239891,0.014974729157984257,-0.0005310159642249345,0.0208732970058918,0.04518756382167339
MCARI_OSAVI,0.07520002871751785,0.7063851952552795,0.0035603911383077515,0.07967998087406158,0.1422666311264038
NDNI,0.08305086940526962,0.03707299381494522,0.008866827748715878,0.08621912449598312,0.13910508155822754
PROTEIN_PROXY_2180_2100,1.0479074716567993,0.0567915216088295,0.965674901008606,1.0413035154342651,1.156985580921173
CAI,-0.013581927865743637,0.013654237613081932,-0.03499395251274109,-0.011927396059036255,0.003894044645130633
LCAI,-0.09208148717880249,0.13025860488414764,-0.25854817032814026,-0.11389133334159851,0.1720385298132896
WI,1.0861756801605225,0.0839366465806961,0.9825449824333191,1.0709445476531982,1.2526930570602417
MSI,0.8824353218078613,0.3251286447048187,0.3658487796783448,0.897777795791626,1.3653279542922974
