index,mean,std,p05,p50,p95
NDVI,0.2759290337562561,0.1611812859773636,0.10077074989676475,0.23198573291301727,0.6108037054538726
PSRI,0.026090536266565323,0.07442175596952438,-0.07079724967479706,0.03286464139819145,0.12430310994386672
REP,716.7835693359375,2374.702392578125,716.7294738769531,721.9595947265625,730.1666870117188
PRI,-0.01620238833129406,0.011698025278747082,-0.03567245304584503,-0.01588686741888523,0.0010369847295805766
ARI,-0.055273011326789856,0.6656611561775208,-1.059525966644287,0.01260519027709961,0.8534925937652587
CRI550,0.7395705580711365,0.5611016750335693,0.2740011215209961,0.5459256172180176,1.9708149909973134
CRI700,0.684297502040863,0.8151901364326477,-0.29144735336303706,0.6145133972167969,2.078113031387329
MCARI,0.01661088317632675,0.013490423560142517,0.001298119686543942,0.013097074814140797,0.04353178925812244
MCARI_OSAVI,0.08142532408237457,5.461125373840332,0.007096184929832818,0.07571344077587128,0.11719703674316406
WBI,1.0996707677841187,0.07670721411705017,1.0085661292076111,1.083655595779419,1.2403576254844666
WI,1.0996707677841187,0.07670721411705017,1.0085661292076111,1.083655595779419,1.2403576254844666
MSI,0.9936568737030029,0.26928192377090454,0.48476049602031707,1.0361651182174683,1.3531818389892578
HDWI,0.043661195784807205,0.039280395954847336,-0.023182593286037445,0.047251973301172256,0.09911236613988872
NDLI,0.03636323660612106,1.0531781911849976,0.009051551576703787,0.03257549926638603,0.08586800098419188
NDNI,0.09090494364500046,0.046022821217775345,0.03110630139708519,0.08268264681100845,0.1730467453598976
PROTEIN_PROXY_2180_2100,1.0479544401168823,0.057850431650877,0.9905849099159241,1.0303884744644165,1.17610547542572
CAI,-0.021946880966424942,0.014207755215466022,-0.04330447316169739,-0.023390769958496094,0.0007131487131118578
LCAI,-0.18328072130680084,0.12633173167705536,-0.43438802361488343,-0.17071077227592468,-0.005258223041892223
