band_index,wavelength_nm,mean,std,valid_ratio
102,886.33,0.24036938,0.058613602,0.7388568188201117
103,891.34,0.23749074,0.057821,0.7388568188201117
104,896.36,0.23168562,0.05618733,0.7388568188201117
105,901.37,0.22752507,0.055959444,0.7388568188201117
106,906.38,0.2272964,0.055994447,0.7388568188201117
107,911.4,0.22261593,0.05592152,0.7388568188201117
108,916.41,0.22061257,0.05617756,0.7388568188201117
109,921.42,0.22193389,0.056552775,0.7388568188201117
110,926.44,0.2186423,0.0558055,0.7388568188201117
111,931.45,0.20442082,0.05648906,0.7388568188201117
112,936.46,0.18820108,0.06071642,0.7388568188201117
113,941.48,0.19203807,0.058790594,0.7388568188201117
114,946.49,0.18820348,0.058931205,0.7388568188201117
115,951.5,0.18744303,0.057680346,0.7388568188201117
116,956.52,0.18755177,0.05574705,0.7388568188201117
117,961.53,0.19271623,0.05436664,0.7388568188201117
118,966.55,0.2001981,0.05361516,0.7388568188201117
119,971.56,0.20871294,0.054028463,0.7388568188201117
120,976.57,0.2111826,0.054566782,0.7388568188201117
121,981.59,0.22273189,0.053254943,0.7388568188201117
122,986.6,0.23596957,0.054389287,0.7388568188201117
123,991.61,0.24319658,0.056440894,0.7388568188201117
124,996.63,0.24898146,0.058539625,0.7388568188201117
125,1001.64,0.25229132,0.060042195,0.7388568188201117
126,1006.65,0.2545834,0.061184306,0.7388568188201117
127,1011.67,0.25618476,0.06205142,0.7388568188201117
128,1016.68,0.25759345,0.06277585,0.7388568188201117
129,1021.69,0.25923723,0.06361373,0.7388568188201117
130,1026.71,0.2606784,0.064340085,0.7388568188201117
131,1031.72,0.2618689,0.06501186,0.7388568188201117
132,1036.73,0.2629103,0.06569268,0.7388568188201117
133,1041.75,0.263346,0.06616384,0.7388568188201117
134,1046.76,0.26373038,0.06647035,0.7388568188201117
135,1051.77,0.2635227,0.06680932,0.7388568188201117
136,1056.79,0.26312074,0.0670084,0.7388568188201117
137,1061.8,0.2631796,0.06706054,0.7388568188201117
138,1066.81,0.2621902,0.067129955,0.7388568188201117
139,1071.83,0.26109663,0.06717577,0.7388568188201117
140,1076.84,0.25984973,0.06703899,0.7388568188201117
141,1081.85,0.25842008,0.06683545,0.7388568188201117
142,1086.86,0.25591442,0.06639923,0.7388568188201117
143,1091.88,0.25179636,0.06543696,0.7388568188201117
144,1096.89,0.2462361,0.06428123,0.7388568188201117
145,1101.9,0.23923205,0.06327893,0.7388568188201117
146,1106.92,0.2316326,0.062538825,0.7388568188201117
147,1111.93,0.22111818,0.06213734,0.7388568188201117
148,1116.94,0.20444475,0.064400166,0.7388568188201117
149,1121.95,0.18810204,0.068242,0.7388568188201117
150,1126.97,0.18423344,0.06884158,0.7388568188201117
151,1131.98,0.1878825,0.06576668,0.7388568188201117
152,1136.99,0.19024011,0.06328088,0.7388568188201117
153,1142.0,0.18879472,0.06278434,0.7388568188201117
154,1147.01,0.18453823,0.06307342,0.7388568188201117
155,1152.03,0.18468575,0.059911016,0.7388568188201117
156,1157.04,0.19484039,0.056203287,0.7388568188201117
157,1162.05,0.20626211,0.054527555,0.7388568188201117
158,1167.06,0.2134958,0.054648384,0.7388568188201117
159,1172.07,0.21829832,0.055154044,0.7388568188201117
160,1177.08,0.22124875,0.05566605,0.7388568188201117
161,1182.1,0.22255097,0.05594979,0.7388568188201117
162,1187.11,0.22521238,0.056208145,0.7388568188201117
163,1192.12,0.22946101,0.056563362,0.7388568188201117
164,1197.13,0.23319371,0.056945562,0.7388568188201117
165,1202.14,0.23639481,0.057282962,0.7388568188201117
166,1207.15,0.24051972,0.057747427,0.7388568188201117
167,1212.16,0.24478991,0.058440648,0.7388568188201117
168,1217.17,0.24893343,0.059234772,0.7388568188201117
169,1222.18,0.25266886,0.060043212,0.7388568188201117
170,1227.2,0.25544563,0.060821123,0.7388568188201117
171,1232.21,0.25764334,0.06156212,0.7388568188201117
172,1237.22,0.25895298,0.062155627,0.7388568188201117
173,1242.23,0.2596016,0.06258193,0.7388568188201117
174,1247.24,0.25982198,0.06289114,0.7388568188201117
175,1252.25,0.25974947,0.06306295,0.7388568188201117
176,1257.26,0.25921664,0.063065924,0.7388568188201117
177,1262.27,0.25809172,0.062812224,0.7388568188201117
178,1267.28,0.2570204,0.06261832,0.7388568188201117
179,1272.29,0.2562935,0.062752984,0.7388568188201117
180,1277.3,0.2554712,0.062908195,0.7388568188201117
181,1282.31,0.2541922,0.062923744,0.7388568188201117
182,1287.32,0.2508799,0.062434442,0.7388568188201117
183,1292.33,0.24756521,0.06189837,0.7388568188201117
184,1297.33,0.24410367,0.061279703,0.7388568188201117
185,1302.34,0.23980922,0.06059599,0.7388568188201117
186,1307.35,0.23539597,0.06019517,0.7388568188201117
187,1312.36,0.23125865,0.060363475,0.7388568188201117
188,1317.37,0.22598794,0.060404193,0.7388568188201117
189,1322.38,0.22115919,0.06106514,0.7388568188201117
190,1327.39,0.21405777,0.06237004,0.7388568188201117
191,1332.4,0.20492041,0.0652301,0.7388568188201117
192,1337.4,0.20116447,0.06632228,0.7388568188201117
193,1342.41,0.19919793,0.068783455,0.7388568188201117
194,1347.42,0.20007227,0.072701454,0.7388568188201117
195,1352.43,0.19400844,0.07047571,0.7388568188201117
196,1357.44,0.17277528,0.07860816,0.7388568188201117
197,1362.44,-0.009999999,9.313226e-10,0.7388568188201117
198,1367.45,-0.009999999,9.313226e-10,0.7388568188201117
199,1372.46,-0.009999999,9.313226e-10,0.7388568188201117
200,1377.47,-0.009999999,9.313226e-10,0.7388568188201117
201,1382.47,-0.009999999,9.313226e-10,0.7388568188201117
202,1387.48,-0.009999999,9.313226e-10,0.7388568188201117
203,1392.49,-0.009999999,9.313226e-10,0.7388568188201117
204,1397.5,-0.009999999,9.313226e-10,0.7388568188201117
205,1402.5,-0.009999999,9.313226e-10,0.7388568188201117
206,1407.51,-0.009999999,9.313226e-10,0.7388568188201117
207,1412.52,1.6133895,0.88038796,0.7388568188201117
208,1417.52,0.94518965,0.45431402,0.7388568188201117
209,1422.53,0.4354512,0.2039629,0.7388568188201117
210,1427.53,0.21221618,0.07927637,0.7388568188201117
211,1432.54,0.19422789,0.069837265,0.7388568188201117
212,1437.55,0.21996926,0.086912595,0.7388568188201117
213,1442.55,0.19478342,0.07990887,0.7388568188201117
214,1447.56,0.14610925,0.05981999,0.7388568188201117
215,1452.56,0.13489725,0.0621532,0.7388568188201117
216,1457.57,0.13203686,0.0642677,0.7388568188201117
217,1462.57,0.13770662,0.06610105,0.7388568188201117
218,1467.58,0.1516469,0.07002665,0.7388568188201117
219,1472.58,0.13406168,0.06116848,0.7388568188201117
220,1477.59,0.123050325,0.057260014,0.7388568188201117
221,1482.59,0.1203337,0.056698654,0.7388568188201117
222,1487.6,0.13372764,0.06156171,0.7388568188201117
223,1492.6,0.1474215,0.06307965,0.7388568188201117
224,1497.61,0.16296576,0.06511985,0.7388568188201117
225,1502.61,0.17144452,0.06619601,0.7388568188201117
226,1507.61,0.18002696,0.06691933,0.7388568188201117
227,1512.62,0.18670882,0.06779464,0.7388568188201117
228,1517.62,0.19203454,0.06849733,0.7388568188201117
229,1522.63,0.1987763,0.068917684,0.7388568188201117
230,1527.63,0.2028279,0.06940964,0.7388568188201117
231,1532.63,0.20851736,0.07007412,0.7388568188201117
232,1537.64,0.21229921,0.070452146,0.7388568188201117
233,1542.64,0.21440643,0.07031982,0.7388568188201117
234,1547.64,0.21747646,0.070567906,0.7388568188201117
235,1552.64,0.22004479,0.07066467,0.7388568188201117
236,1557.65,0.22221331,0.07070597,0.7388568188201117
237,1562.65,0.22331057,0.070520744,0.7388568188201117
238,1567.65,0.22562215,0.07067946,0.7388568188201117
239,1572.65,0.22834508,0.07108799,0.7388568188201117
240,1577.65,0.22940141,0.07099591,0.7388568188201117
241,1582.66,0.22957247,0.07056607,0.7388568188201117
242,1587.66,0.23042239,0.07035141,0.7388568188201117
243,1592.66,0.2317365,0.07038703,0.7388568188201117
244,1597.66,0.23403578,0.070641614,0.7388568188201117
