band_index,wavelength_nm,mean,std,valid_ratio
0,376.44,0.027854476,0.032365482,0.6959755206430398
1,381.41,0.034400802,0.033350863,0.6959755206430398
2,386.38,0.035314538,0.034218844,0.6959755206430398
3,391.35,0.037885014,0.03607046,0.6959755206430398
4,396.32,0.03738248,0.03698664,0.6959755206430398
5,401.29,0.039320912,0.038853854,0.6959755206430398
6,406.26,0.038996752,0.038956378,0.6959755206430398
7,411.23,0.037032492,0.03871658,0.6959755206430398
8,416.21,0.038435623,0.03922053,0.6959755206430398
9,421.18,0.0383179,0.039151475,0.6959755206430398
10,426.16,0.037970323,0.039201703,0.6959755206430398
11,431.14,0.03799245,0.039229423,0.6959755206430398
12,436.12,0.04095561,0.03996106,0.6959755206430398
13,441.1,0.0406081,0.03985924,0.6959755206430398
14,446.08,0.039455835,0.03930274,0.6959755206430398
15,451.06,0.041305106,0.039664593,0.6959755206430398
16,456.04,0.04311513,0.040108256,0.6959755206430398
17,461.02,0.042503085,0.04004892,0.6959755206430398
18,466.01,0.043296993,0.04037117,0.6959755206430398
19,470.99,0.04358339,0.040577307,0.6959755206430398
20,475.98,0.043961745,0.040804457,0.6959755206430398
21,480.96,0.04434331,0.040887296,0.6959755206430398
22,485.95,0.044703316,0.041020464,0.6959755206430398
23,490.93,0.0458766,0.041426215,0.6959755206430398
24,495.92,0.046306405,0.041316543,0.6959755206430398
25,500.91,0.049636494,0.041800436,0.6959755206430398
26,505.9,0.05267069,0.04192132,0.6959755206430398
27,510.89,0.056294307,0.041722044,0.6959755206430398
28,515.88,0.06112681,0.041498493,0.6959755206430398
29,520.87,0.06876743,0.041589547,0.6959755206430398
30,525.87,0.07571684,0.041461404,0.6959755206430398
31,530.86,0.08169205,0.041363668,0.6959755206430398
32,535.85,0.086919196,0.041582346,0.6959755206430398
33,540.85,0.09097113,0.042012647,0.6959755206430398
34,545.84,0.093531296,0.042159155,0.6959755206430398
35,550.84,0.096051805,0.042489737,0.6959755206430398
36,555.83,0.09802417,0.04309235,0.6959755206430398
37,560.83,0.09827504,0.043871768,0.6959755206430398
38,565.83,0.09787347,0.04486925,0.6959755206430398
39,570.83,0.0964056,0.046027746,0.6959755206430398
40,575.82,0.09451576,0.04701913,0.6959755206430398
41,580.82,0.09216199,0.04765511,0.6959755206430398
42,585.82,0.09072563,0.048333615,0.6959755206430398
43,590.82,0.09237188,0.05025868,0.6959755206430398
44,595.82,0.0909885,0.050157003,0.6959755206430398
45,600.82,0.090889335,0.05003512,0.6959755206430398
46,605.82,0.090298586,0.050162524,0.6959755206430398
47,610.82,0.089474306,0.050777357,0.6959755206430398
48,615.83,0.08824858,0.051308323,0.6959755206430398
49,620.83,0.08708738,0.05165631,0.6959755206430398
50,625.83,0.08773126,0.052371565,0.6959755206430398
51,630.83,0.08808122,0.0528138,0.6959755206430398
52,635.84,0.087290496,0.052908134,0.6959755206430398
53,640.84,0.085755035,0.053015582,0.6959755206430398
54,645.85,0.085541666,0.054190174,0.6959755206430398
55,650.85,0.08386959,0.05481805,0.6959755206430398
56,655.86,0.08095424,0.054559175,0.6959755206430398
57,660.86,0.07424629,0.052249134,0.6959755206430398
58,665.87,0.07316476,0.05235243,0.6959755206430398
59,670.87,0.07586385,0.05404864,0.6959755206430398
60,675.88,0.07875841,0.05547049,0.6959755206430398
61,680.89,0.08058173,0.05584797,0.6959755206430398
62,685.89,0.084600694,0.05649309,0.6959755206430398
63,690.9,0.09303758,0.05672836,0.6959755206430398
64,695.91,0.107765816,0.056151714,0.6959755206430398
65,700.91,0.1277561,0.05491742,0.6959755206430398
66,705.92,0.15099524,0.053276554,0.6959755206430398
67,710.93,0.17405435,0.052063085,0.6959755206430398
68,715.94,0.20127589,0.052855246,0.6959755206430398
69,720.95,0.23651904,0.054338183,0.6959755206430398
70,725.96,0.26475012,0.055556234,0.6959755206430398
71,730.97,0.28959224,0.057205282,0.6959755206430398
72,735.98,0.30691886,0.058702707,0.6959755206430398
73,740.98,0.32517913,0.061347358,0.6959755206430398
74,745.99,0.33683825,0.06324121,0.6959755206430398
75,751.0,0.34554574,0.064727806,0.6959755206430398
76,756.02,0.35389504,0.06639781,0.6959755206430398
77,761.02,0.3589755,0.06755748,0.6959755206430398
78,766.04,0.36034578,0.067287125,0.6959755206430398
79,771.05,0.36249885,0.067269556,0.6959755206430398
80,776.06,0.36465207,0.06745381,0.6959755206430398
81,781.07,0.36691228,0.06771805,0.6959755206430398
82,786.08,0.36925995,0.06806949,0.6959755206430398
83,791.09,0.3717671,0.06844679,0.6959755206430398
84,796.1,0.37398976,0.068746835,0.6959755206430398
85,801.12,0.37630162,0.06907107,0.6959755206430398
86,806.13,0.37791073,0.06925528,0.6959755206430398
87,811.14,0.3801882,0.069615334,0.6959755206430398
88,816.15,0.38257834,0.07005628,0.6959755206430398
89,821.16,0.38353476,0.07005243,0.6959755206430398
90,826.18,0.38438374,0.070018575,0.6959755206430398
91,831.19,0.3847465,0.06986635,0.6959755206430398
92,836.2,0.38513908,0.06974491,0.6959755206430398
93,841.21,0.38608918,0.06973859,0.6959755206430398
94,846.23,0.38716075,0.069797784,0.6959755206430398
95,851.24,0.38842717,0.06989247,0.6959755206430398
96,856.25,0.38928244,0.0699299,0.6959755206430398
97,861.26,0.3903873,0.06999381,0.6959755206430398
98,866.28,0.39144808,0.07009609,0.6959755206430398
99,871.29,0.39231634,0.07016681,0.6959755206430398
100,876.3,0.3933529,0.07026805,0.6959755206430398
101,881.32,0.3944334,0.070415355,0.6959755206430398
102,886.33,0.39546862,0.07057889,0.6959755206430398
103,891.34,0.39714476,0.070963375,0.6959755206430398
104,896.36,0.39979053,0.071699485,0.6959755206430398
105,901.37,0.40183356,0.07224051,0.6959755206430398
106,906.38,0.40270057,0.07241373,0.6959755206430398
107,911.4,0.40399963,0.07282198,0.6959755206430398
108,916.41,0.40410355,0.07288471,0.6959755206430398
109,921.42,0.4025234,0.07242771,0.6959755206430398
110,926.44,0.4040547,0.07294638,0.6959755206430398
111,931.45,0.41003287,0.07529689,0.6959755206430398
112,936.46,0.4112685,0.076756805,0.6959755206430398
113,941.48,0.40770152,0.0756962,0.6959755206430398
114,946.49,0.40410626,0.07503471,0.6959755206430398
115,951.5,0.39791936,0.07364472,0.6959755206430398
116,956.52,0.38905,0.07162869,0.6959755206430398
117,961.53,0.38449922,0.07032307,0.6959755206430398
118,966.55,0.38137776,0.069262296,0.6959755206430398
119,971.56,0.3793062,0.06820103,0.6959755206430398
120,976.57,0.3796192,0.068192385,0.6959755206430398
121,981.59,0.37942567,0.067561135,0.6959755206430398
122,986.6,0.38034353,0.06710568,0.6959755206430398
123,991.61,0.3847709,0.06767526,0.6959755206430398
124,996.63,0.38704702,0.06799288,0.6959755206430398
125,1001.64,0.38989657,0.06845055,0.6959755206430398
126,1006.65,0.3926203,0.068767406,0.6959755206430398
127,1011.67,0.39520422,0.06904366,0.6959755206430398
128,1016.68,0.39739034,0.06927461,0.6959755206430398
129,1021.69,0.39997184,0.06957275,0.6959755206430398
130,1026.71,0.4030438,0.06999209,0.6959755206430398
131,1031.72,0.40633228,0.07041724,0.6959755206430398
132,1036.73,0.40984544,0.07091627,0.6959755206430398
133,1041.75,0.41306078,0.07138426,0.6959755206430398
134,1046.76,0.41584373,0.071780376,0.6959755206430398
135,1051.77,0.41805705,0.07207264,0.6959755206430398
136,1056.79,0.42008585,0.07234576,0.6959755206430398
137,1061.8,0.42162475,0.07254396,0.6959755206430398
138,1066.81,0.42249617,0.072611794,0.6959755206430398
139,1071.83,0.42288512,0.072602786,0.6959755206430398
140,1076.84,0.42329445,0.07258127,0.6959755206430398
141,1081.85,0.4238653,0.07260869,0.6959755206430398
142,1086.86,0.42467493,0.072736666,0.6959755206430398
143,1091.88,0.42623496,0.07310385,0.6959755206430398
144,1096.89,0.42705607,0.07344285,0.6959755206430398
145,1101.9,0.42775327,0.073872045,0.6959755206430398
146,1106.92,0.43031427,0.07475632,0.6959755206430398
147,1111.93,0.43486136,0.076361135,0.6959755206430398
148,1116.94,0.43708453,0.07838885,0.6959755206430398
149,1121.95,0.42700425,0.07862456,0.6959755206430398
150,1126.97,0.40968832,0.0763172,0.6959755206430398
151,1131.98,0.3939685,0.072964154,0.6959755206430398
152,1136.99,0.38840702,0.07149581,0.6959755206430398
153,1142.0,0.38570243,0.07123413,0.6959755206430398
154,1147.01,0.3760316,0.070136115,0.6959755206430398
155,1152.03,0.36448017,0.06807829,0.6959755206430398
156,1157.04,0.3616609,0.0669266,0.6959755206430398
157,1162.05,0.36326325,0.06668915,0.6959755206430398
158,1167.06,0.36607647,0.06687558,0.6959755206430398
159,1172.07,0.36816895,0.0670962,0.6959755206430398
160,1177.08,0.3696977,0.06745451,0.6959755206430398
161,1182.1,0.37010312,0.06773368,0.6959755206430398
162,1187.11,0.36949137,0.06781763,0.6959755206430398
163,1192.12,0.37015903,0.06798205,0.6959755206430398
164,1197.13,0.3720425,0.068338685,0.6959755206430398
165,1202.14,0.3728672,0.06845533,0.6959755206430398
166,1207.15,0.37305602,0.06829763,0.6959755206430398
167,1212.16,0.37433332,0.06817188,0.6959755206430398
