index,mean,std,p05,p50,p95
NDVI,0.6973234415054321,0.15785889327526093,0.4011821627616882,0.7214662432670593,0.901081383228302
PSRI,0.09200112521648407,0.06611545383930206,0.017295433208346367,0.07570349425077438,0.22136004865169526
REP,718.8284912109375,2.7087903022766113,717.0401489257813,718.9501342773438,720.2691650390625
PRI,-0.08246426284313202,0.20101751387119293,-0.1265629082918167,-0.0829610601067543,-0.03228246793150901
ARI,4.017245769500732,314.51715087890625,0.957591438293457,2.6341099739074707,4.790177536010743
CRI550,9.368417739868164,1026.3834228515625,2.349215793609619,9.15447998046875,38.36056137084961
CRI700,13.385663986206055,1041.1221923828125,4.22446575164795,11.723679542541504,42.576843261718764
MCARI,0.09694112837314606,0.1543411910533905,0.03986072987318039,0.08742038160562515,0.18218684792518625
MCARI_OSAVI,0.16129188239574432,0.36653292179107666,0.10520442575216293,0.1492859125137329,0.2555927574634553
WBI,1.060813069343567,0.040488362312316895,1.0072075128555298,1.062589168548584,1.1042735576629639
WI,1.060813069343567,0.040488362312316895,1.0072075128555298,1.062589168548584,1.1042735576629639
MSI,0.6719680428504944,0.15104103088378906,0.47450782656669616,0.6467246413230896,0.9531057000160219
HDWI,0.8504984378814697,221.26522827148438,0.24597806930541993,0.4874242842197418,0.720953392982483
NDLI,0.00927469041198492,0.014411147683858871,-0.018332411348819733,0.012483751401305199,0.026371730491518974
NDNI,0.13705691695213318,0.02866191789507866,0.08791688084602356,0.13737116754055023,0.18249566256999972
PROTEIN_PROXY_2180_2100,1.103149652481079,0.06825492531061172,1.002395009994507,1.0990548133850098,1.2205854654312134
CAI,-0.017338570207357407,0.011675248853862286,-0.03984730541706085,-0.013649120926856995,-0.004283030331134795
LCAI,-0.051469333469867706,0.1493280827999115,-0.15874895751476287,-0.059130966663360596,0.0744314879179001
